"","ensembl_gene_id","res","Identifier"
"383","ENSG00000177830","Upregulated","NM_001142674"
"384","ENSG00000149806","Upregulated","NM_001997"
"385","ENSG00000205138","Upregulated","NM_001042631"
"386","ENSG00000151687","Downregulated","NM_001378068"
"387","ENSG00000180992","Upregulated","NM_001318767"
"388","ENSG00000101109","Downregulated","NM_001352385"
"389","ENSG00000276432","Upregulated","NM_001034836"
"390","ENSG00000240972","Upregulated","NM_002415"
"391","ENSG00000057019","Upregulated","NM_080927"
"392","ENSG00000109756","Downregulated","NM_001351724"
"393","ENSG00000104783","Upregulated","NM_002250"
"394","ENSG00000214756","Upregulated","NM_001043229"
"395","ENSG00000204237","Upregulated","NM_001039842"
"396","ENSG00000139428","Upregulated","NM_052845"
"397","ENSG00000187257","Downregulated","NM_198467"
"398","ENSG00000205704","Upregulated","NM_001395940"
"399","ENSG00000120549","Upregulated","NM_001098500"
"400","ENSG00000236873","Upregulated","NM_001371437"
"401","ENSG00000140848","Upregulated","NM_152727"
"402","ENSG00000131469","Upregulated","NM_000988"
"403","ENSG00000145014","Upregulated","NM_001011655"
"404","ENSG00000213741","Upregulated","NM_001030001"
"405","ENSG00000066827","Upregulated","NM_001029939"
"406","ENSG00000128581","Upregulated","NM_001130820"
"407","ENSG00000127554","Upregulated","NM_005262"
"408","ENSG00000107518","Upregulated","NM_001276282"
"409","ENSG00000214827","Upregulated","NM_001018025"
"410","ENSG00000134419","Upregulated","NM_001019"
"411","ENSG00000260001","Upregulated","NM_001195259"
"412","ENSG00000115268","Upregulated","NM_001018"
"413","ENSG00000157551","Upregulated","NM_001276435"
"414","ENSG00000174886","Upregulated","NM_001193375"
"415","ENSG00000169740","Upregulated","NM_001005368"
"416","ENSG00000125835","Upregulated","NM_003091"
"417","ENSG00000130787","Downregulated","NM_001303097"
"418","ENSG00000100504","Upregulated","NM_001163940"
"419","ENSG00000092203","Downregulated","NM_001303523"
"420","ENSG00000146701","Upregulated","NM_001282403"
"421","ENSG00000145388","Downregulated","NM_020961"
"422","ENSG00000103363","Upregulated","NM_007108"
"423","ENSG00000048540","Upregulated","NM_001001395"
"424","ENSG00000163823","Downregulated","NM_001295"
"425","ENSG00000117691","Upregulated","NM_013349"
"426","ENSG00000164402","Upregulated","NM_001098811"
"427","ENSG00000168016","Downregulated","NM_001329998"
"428","ENSG00000163634","Upregulated","NM_001285387"
"429","ENSG00000136813","Upregulated","NM_001080398"
"430","ENSG00000109572","Downregulated","NM_001243372"
"431","ENSG00000214113","Upregulated","NM_001164840"
"432","ENSG00000214435","Upregulated","NM_020682"
"433","ENSG00000188171","Downregulated","NM_001076675"
"434","ENSG00000131069","Upregulated","NM_001076552"
"435","ENSG00000139722","Downregulated","NM_024667"
"436","ENSG00000144468","Downregulated","NM_001167608"
"437","ENSG00000127947","Downregulated","NM_001131008"
"438","ENSG00000130159","Upregulated","NM_001142464"
"439","ENSG00000137502","Downregulated","NM_001286059"
"440","ENSG00000001629","Downregulated","NM_019004"
"441","ENSG00000155903","Downregulated","NM_001303245"
"442","ENSG00000127948","Upregulated","NM_000941"
"443","ENSG00000185842","Upregulated","NM_001145154"
"444","ENSG00000283153","Upregulated","NM_004477"
"445","ENSG00000140396","Downregulated","NM_001321703"
"446","ENSG00000103152","Upregulated","NM_001015052"
"447","ENSG00000105552","Upregulated","NM_001164773"
"448","ENSG00000115286","Upregulated","NM_001363602"
"449","ENSG00000160796","Upregulated","NM_001365116"
"450","ENSG00000154655","Upregulated","NM_001330559"
"451","ENSG00000102934","Upregulated","NM_015993"
"452","ENSG00000101439","Upregulated","NM_000099"
"453","ENSG00000073282","Upregulated","NM_001114978"
"454","ENSG00000118689","Upregulated","NM_001415139"
"455","ENSG00000214944","Upregulated","NM_001080479"
"456","ENSG00000005243","Upregulated","NM_016429"
"457","ENSG00000176903","Downregulated","NM_006029"
"458","ENSG00000125356","Upregulated","NM_004541"
"459","ENSG00000170430","Upregulated","NM_002412"
"460","ENSG00000147684","Upregulated","NM_001278645"
"461","ENSG00000198755","Upregulated","NM_007104"
"462","ENSG00000064999","Downregulated","NM_015245"
"463","ENSG00000162434","Downregulated","NM_001320923"
"464","ENSG00000263001","Downregulated","NM_001163636"
"465","ENSG00000189339","Downregulated","NM_001110781"
"466","ENSG00000137965","Downregulated","NM_006417"
"467","ENSG00000223367","Upregulated","NM_022551"
"468","ENSG00000141959","Upregulated","NM_001002021"
"469","ENSG00000198218","Downregulated","NM_001320580"
"470","ENSG00000133731","Downregulated","NM_001144878"
"471","ENSG00000275052","Downregulated","NM_001122964"
"472","ENSG00000167283","Upregulated","NM_006476"
"473","ENSG00000156928","Upregulated","NM_138446"
"474","ENSG00000101596","Downregulated","NM_015295"
"475","ENSG00000228253","Downregulated","YP_003024030"
"476","ENSG00000133703","Downregulated","NM_001369786"
"477","ENSG00000075651","Upregulated","NM_001130081"
"478","ENSG00000171475","Downregulated","NM_133264"
"479","ENSG00000165644","Upregulated","NM_144589"
"480","ENSG00000063854","Upregulated","NM_001040427"
"481","ENSG00000140990","Upregulated","NM_004548"
"482","ENSG00000075415","Upregulated","NM_002635"
"483","ENSG00000130414","Upregulated","NM_001322019"
"484","ENSG00000172578","Upregulated","NM_130446"
"485","ENSG00000281151","Upregulated","NM_001382235"
"486","ENSG00000167863","Upregulated","NM_001003785"
"487","ENSG00000214575","Upregulated","NM_001079533"
"488","ENSG00000069493","Downregulated","NM_001004419"
"489","ENSG00000132661","Upregulated","NM_013248"
"490","ENSG00000152778","Downregulated","NM_012420"
"491","ENSG00000137200","Downregulated","NM_015050"
"492","ENSG00000169021","Upregulated","NM_006003"
"493","ENSG00000240204","Upregulated","NM_001195243"
"494","ENSG00000165406","Downregulated","NM_001002265"
"495","ENSG00000220201","Upregulated","NM_001103167"
"496","ENSG00000011332","Upregulated","NM_001135155"
"497","ENSG00000160218","Downregulated","NM_001001723"
"498","ENSG00000162736","Downregulated","NM_001290184"
"499","ENSG00000151876","Upregulated","NM_001297437"
"500","ENSG00000120949","Upregulated","NM_001243"
"501","ENSG00000177409","Downregulated","NM_001303496"
"502","ENSG00000205981","Upregulated","NM_001190233"
"503","ENSG00000141759","Upregulated","NM_001303471"
"504","ENSG00000137075","Downregulated","NM_022781"
"505","ENSG00000245680","Downregulated","NM_152279"
"506","ENSG00000183722","Upregulated","NM_005780"
"507","ENSG00000090924","Downregulated","NM_001351693"
"508","ENSG00000105372","Upregulated","NM_001022"
"509","ENSG00000135090","Downregulated","NM_001346487"
"510","ENSG00000134326","Downregulated","NM_001256477"
"511","ENSG00000204271","Downregulated","NM_001010862"
"512","ENSG00000204305","Upregulated","NM_001136"
"513","ENSG00000165895","Downregulated","NM_001367945"
"514","ENSG00000104904","Upregulated","NM_001301020"
"515","ENSG00000119778","Downregulated","NM_001242338"
"516","ENSG00000157625","Downregulated","NM_001399870"
"517","ENSG00000213281","Downregulated","NM_002524"
"518","ENSG00000198521","Downregulated","NM_001256648"
"519","ENSG00000133142","Upregulated","NM_001006935"
"520","ENSG00000172428","Upregulated","NM_001163424"
"521","ENSG00000211450","Upregulated","NM_001321335"
"522","ENSG00000130589","Downregulated","NM_001037335"
"523","ENSG00000131724","Upregulated","NM_001560"
"524","ENSG00000143756","Downregulated","NM_001136115"
"525","ENSG00000023287","Downregulated","NM_001083617"
"526","ENSG00000167258","Downregulated","NM_015083"
"527","ENSG00000138326","Upregulated","NM_001026"
"528","ENSG00000061938","Downregulated","NM_001010938"
"529","ENSG00000166145","Upregulated","NM_001032367"
"530","ENSG00000164742","Upregulated","NM_001281768"
"531","ENSG00000241360","Upregulated","NM_020315"
"532","ENSG00000083097","Downregulated","NM_001199942"
"533","ENSG00000151929","Upregulated","NM_004281"
"534","ENSG00000051620","Upregulated","NM_001326380"
"535","ENSG00000110717","Upregulated","NM_002496"
"536","ENSG00000143641","Downregulated","NM_001291866"
"537","ENSG00000206206","Upregulated","NM_001141969"
"538","ENSG00000143384","Downregulated","NM_001197320"
"539","ENSG00000178860","Upregulated","NM_005098"
"540","ENSG00000112651","Upregulated","NM_001300848"
"541","ENSG00000040487","Upregulated","NM_001040125"
"542","ENSG00000146242","Upregulated","NM_001166392"
