"","ensembl_gene_id","res","Identifier"
"414","ENSG00000228333","Upregulated","NM_001270401"
"415","ENSG00000170468","Upregulated","NM_024644"
"416","ENSG00000196547","Upregulated","NM_001320977"
"417","ENSG00000171540","Upregulated","NM_032109"
"418","ENSG00000170264","Upregulated","NM_001201543"
"419","ENSG00000163040","Upregulated","NM_001258304"
"420","ENSG00000206455","Upregulated","NM_001077511"
"421","ENSG00000102870","Downregulated","NM_001080417"
"422","ENSG00000223465","Upregulated","NM_001166538"
"423","ENSG00000166173","Upregulated","NM_001286679"
"424","ENSG00000114948","Upregulated","NM_001410985"
"425","ENSG00000181007","Upregulated","NM_001321917"
"426","ENSG00000085788","Upregulated","NM_001164232"
"427","ENSG00000137968","Upregulated","NM_001130058"
"428","ENSG00000105887","Downregulated","NM_145808"
"429","ENSG00000128512","Upregulated","NM_001363540"
"430","ENSG00000179909","Upregulated","NM_001085384"
"431","ENSG00000081985","Upregulated","NM_001258214"
"432","ENSG00000256235","Upregulated","NM_032947"
"433","ENSG00000197444","Upregulated","NM_001143996"
"434","ENSG00000126106","Upregulated","NM_001300746"
"435","ENSG00000168818","Downregulated","NM_001346281"
"436","ENSG00000040933","Upregulated","NM_001134224"
"437","ENSG00000188315","Upregulated","NM_198562"
"438","ENSG00000204370","Downregulated","NM_001276503"
"439","ENSG00000167566","Upregulated","NM_001037806"
"440","ENSG00000079819","Downregulated","NM_001135554"
"441","ENSG00000185745","Downregulated","NM_001270927"
"442","ENSG00000168743","Upregulated","NM_001033047"
"443","ENSG00000145088","Downregulated","NM_001320041"
"444","ENSG00000173085","Downregulated","NM_001358921"
"445","ENSG00000143514","Downregulated","NM_001031685"
"446","ENSG00000274750","Upregulated","NM_001381999"
"447","ENSG00000172575","Upregulated","NM_001128602"
"448","ENSG00000122085","Upregulated","NM_001330179"
"449","ENSG00000137502","Downregulated","NM_001286059"
"450","ENSG00000152926","Upregulated","NM_015852"
"451","ENSG00000170231","Upregulated","NM_001040442"
"452","ENSG00000163399","Upregulated","NM_000701"
"453","ENSG00000264343","Upregulated","NM_001364006"
"454","ENSG00000135862","Downregulated","NM_002293"
"455","ENSG00000121413","Upregulated","NM_001145542"
"456","ENSG00000132821","Upregulated","NM_080607"
"457","ENSG00000003393","Upregulated","NM_001135745"
"458","ENSG00000107551","Upregulated","NM_032023"
"459","ENSG00000123091","Upregulated","NM_014372"
"460","ENSG00000159212","Upregulated","NM_001317009"
"461","ENSG00000144161","Downregulated","NM_032494"
"462","ENSG00000156026","Downregulated","NM_001270679"
"463","ENSG00000140563","Downregulated","NM_001159643"
"464","ENSG00000104267","Downregulated","NM_000067"
"465","ENSG00000205084","Upregulated","NM_001077416"
"466","ENSG00000011295","Downregulated","NM_001271420"
"467","ENSG00000102970","Upregulated","NM_002987"
"468","ENSG00000185291","Upregulated","NM_001267713"
"469","ENSG00000169019","Downregulated","NM_001329668"
"470","ENSG00000264522","Upregulated","NM_020205"
"471","ENSG00000117448","Upregulated","NM_001202413"
"472","ENSG00000153936","Downregulated","NM_001134492"
"473","ENSG00000069869","Upregulated","NM_001284338"
"474","ENSG00000168404","Downregulated","NM_001142497"
"475","ENSG00000124641","Downregulated","NM_001305455"
"476","ENSG00000171617","Upregulated","NM_001256574"
"477","ENSG00000070366","Upregulated","NM_001170957"
"478","ENSG00000119866","Downregulated","NM_001363864"
"479","ENSG00000161929","Upregulated","NM_001271842"
"480","ENSG00000099977","Upregulated","NM_001084392"
"481","ENSG00000035664","Upregulated","NM_001363730"
"482","ENSG00000111254","Upregulated","NM_001278309"
"483","ENSG00000085998","Upregulated","NM_001243766"
"484","ENSG00000198740","Downregulated","NM_001145365"
"485","ENSG00000183722","Upregulated","NM_005780"
"486","ENSG00000215641","Upregulated","NM_006510"
"487","ENSG00000059378","Downregulated","NM_022750"
"488","ENSG00000083290","Upregulated","NM_001142610"
"489","ENSG00000110697","Upregulated","NM_001130848"
"490","ENSG00000234836","Upregulated","NM_001318970"
"491","ENSG00000100075","Downregulated","NM_001256534"
"492","ENSG00000028137","Upregulated","NM_001066"
"493","ENSG00000205592","Upregulated","NM_173600"
"494","ENSG00000185800","Upregulated","NM_004943"
"495","ENSG00000164951","Downregulated","NM_001161778"
"496","ENSG00000233276","Upregulated","NM_000581"
"497","ENSG00000119943","Upregulated","NM_032709"
"498","ENSG00000124256","Downregulated","NM_001160417"
"499","ENSG00000156711","Upregulated","NM_002754"
"500","ENSG00000115687","Upregulated","NM_001252119"
"501","ENSG00000140044","Upregulated","NM_001135047"
"502","ENSG00000100852","Downregulated","NM_001030055"
"503","ENSG00000156170","Upregulated","NM_001330582"
"504","ENSG00000198960","Downregulated","NM_001009584"
"505","ENSG00000147509","Upregulated","NM_001286673"
"506","ENSG00000138964","Upregulated","NM_001137605"
"507","ENSG00000197386","Upregulated","NM_001388492"
"508","ENSG00000172292","Downregulated","NM_001256126"
"509","ENSG00000115750","Downregulated","NM_001318976"
"510","ENSG00000072858","Downregulated","NM_001308350"
"511","ENSG00000163687","Upregulated","NM_001256560"
"512","ENSG00000140403","Upregulated","NM_001130182"
"513","ENSG00000133805","Upregulated","NM_000480"
"514","ENSG00000019582","Upregulated","NM_001025158"
"515","ENSG00000116171","Downregulated","NM_001007098"
"516","ENSG00000026025","Downregulated","NM_003380"
"517","ENSG00000082458","Downregulated","NM_001166278"
"518","ENSG00000100219","Downregulated","NM_001079539"
"519","ENSG00000137496","Upregulated","NM_001039659"
"520","ENSG00000132334","Downregulated","NM_001316676"
"521","ENSG00000107362","Downregulated","NM_001025780"
"522","ENSG00000236843","Downregulated","NM_001270707"
"523","ENSG00000196437","Upregulated","NM_001330482"
"524","ENSG00000143633","Downregulated","NM_001300830"
"525","ENSG00000106868","Upregulated","NM_001282640"
"526","ENSG00000197928","Upregulated","NM_001317998"
"527","ENSG00000270629","Upregulated","NM_001395631"
"528","ENSG00000089127","Downregulated","NM_001032409"
"529","ENSG00000137959","Downregulated","NM_001375646"
"530","ENSG00000198752","Upregulated","NM_001411054"
"531","ENSG00000057757","Downregulated","NM_020362"
"532","ENSG00000162676","Downregulated","NM_001127215"
"533","ENSG00000137449","Upregulated","NM_001177381"
"534","ENSG00000166974","Downregulated","NM_001143826"
"535","ENSG00000114573","Downregulated","NM_001690"
"536","ENSG00000173334","Downregulated","NM_001282985"
"537","ENSG00000198093","Upregulated","NM_023074"
"538","ENSG00000111729","Upregulated","NM_016184"
"539","ENSG00000160633","Downregulated","NM_001201338"
"540","ENSG00000198089","Upregulated","NM_001007467"
"541","ENSG00000178498","Upregulated","NM_001286245"
